Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
GD,2025-06-29,13041.0,1305.0,1528.0,1014.0,56888.0,23580.0,3.74,1598.0,198.0,14.95,10.01,7.78,17.91,7.27,1.36,36.95,78033.5,6.6923013990018765,8.89278557114228,14.723926380368102,12.044198895027613,8.055424698454017,10.948839701563355,1400.0
GD,2025-09-28,12907.0,1331.0,1557.0,1059.0,57599.0,24434.0,3.88,2109.0,212.0,15.25,10.31,8.2,17.78,7.34,1.4,32.8,88859.26,-1.0275285637604492,10.590352154913884,15.820895522388057,13.87096774193548,13.87322111657172,10.961260485422166,1897.0
GD,2025-12-31,14379.0,1452.0,1704.0,1143.0,57249.0,25622.0,4.16,1561.0,609.0,14.89,10.1,7.95,17.66,7.44,1.44,32.8,91029.42,11.404664135740305,7.804768331084122,0.48309178743961567,-0.4355400696864131,2.4422440610016416,10.955165454015024,952.0
INTC,2021-12-25,20528.0,4664.0,7738.0,4623.0,168406.0,95391.0,1.13,5403.0,7632.0,53.63,22.72,22.52,22.52,12.36,2.13,39.94,208677.77,,,,,,12.03413300960933,-2229.0
INTC,2022-04-02,18353.0,3130.0,6478.0,8113.0,176356.0,103136.0,1.98,5891.0,4797.0,50.37,17.05,44.21,26.92,15.06,2.13,36.11,196707.16,-10.595284489477786,,,,-5.736408818246419,12.08025995833464,1094.0
INTC,2022-07-02,15321.0,151.0,3299.0,-454.0,170418.0,101218.0,-0.11,809.0,7049.0,41.45,0.99,-2.96,20.5,11.76,1.86,35.0,148594.26,-16.520459870320924,,,,-24.459150343078505,12.046009521601311,-6240.0
INTC,2022-10-01,15338.0,489.0,3741.0,1019.0,174841.0,99885.0,0.25,1030.0,7299.0,42.61,3.19,6.64,14.0,7.76,1.77,39.57,105811.62,0.11095881469878055,,,,-28.79158320112769,12.071632268475879,-6269.0
INTC,2022-12-31,14042.0,-507.0,2780.0,-661.0,182103.0,101423.0,-0.16,7703.0,5905.0,40.33,-3.61,-4.71,8.14,4.57,1.57,40.71,109076.61,-8.449602294953706,-31.595869056897897,-114.15929203539822,-114.29807484317543,3.085662992401028,12.112327740044577,1798.0
INTC,2023-04-01,11715.0,-1443.0,923.0,-2768.0,185303.0,98059.0,-0.66,-1785.0,7413.0,34.21,-12.32,-23.63,-2.84,-1.58,1.76,50.07,136266.57,-16.571713431135173,-36.16847381899417,-133.33333333333334,-134.11808209047206,24.927397358608783,12.129747602104619,-9198.0
INTC,2023-07-01,12949.0,-855.0,1421.0,1473.0,185629.0,101017.0,0.35,2808.0,5888.0,35.82,-6.6,11.38,-0.91,-0.53,1.6,46.95,140046.72,10.533504054630804,-15.482018145029697,-418.1818181818182,-424.44933920704847,2.7740846489348048,12.131505337128477,-3080.0
INTC,2023-09-30,14158.0,772.0,3219.0,310.0,188837.0,101813.0,0.07,5824.0,5753.0,42.51,5.45,2.19,-1.63,-0.91,1.53,46.25,148883.4,9.336628311066498,-7.6933107315164895,-72.0,-69.57801766437683,6.309808612440193,12.1486394880693,71.0
INTC,2023-12-30,15406.0,1404.0,3917.0,2660.0,191572.0,105590.0,0.62,4624.0,6696.0,45.74,9.11,17.27,1.63,0.9,1.54,44.8,211854.0,8.81480435089701,9.71371599487252,-487.5,-502.4205748865356,42.295245809808215,12.163018996052674,-2072.0
INTC,2024-03-30,12724.0,-721.0,1830.0,-437.0,192733.0,105973.0,-0.09,-1223.0,5970.0,41.0,-5.67,-3.43,3.99,2.12,1.57,47.36,188026.05,-17.40880176554589,8.612889457959882,-86.36363636363636,-84.21242774566474,-11.247344869580001,12.169061090389416,-7193.0
INTC,2024-06-29,12833.0,-1021.0,1548.0,-1654.0,206205.0,115229.0,-0.38,2292.0,5682.0,35.43,-7.96,-12.89,0.9,0.45,1.59,44.03,131839.29,0.8566488525620919,-0.8958220712024123,-208.57142857142858,-212.28784792939578,-29.882433843608368,12.23662609857363,-3390.0
INTC,2024-09-28,13284.0,-3435.0,177.0,-16989.0,193542.0,99532.0,-3.88,4054.0,6458.0,15.03,-25.86,-127.89,-15.85,-8.59,1.31,47.91,102023.97,3.514376996805102,-6.173188303432687,-5642.857142857142,-5580.322580645161,-22.614897273794487,12.17324982216267,-2404.0
INTC,2024-12-28,14260.0,469.0,3116.0,-153.0,196485.0,99270.0,-0.03,3165.0,5834.0,39.16,3.29,-1.07,-18.31,-9.91,1.33,47.62,87553.9,7.347184582956934,-7.438660262235497,-104.83870967741935,-105.75187969924814,-14.183010129874384,12.18834137149986,-2669.0
INTC,2025-03-29,12667.0,-145.0,2529.0,-887.0,192242.0,99756.0,-0.19,813.0,5183.0,36.88,-1.14,-7.0,-18.66,-10.23,1.31,47.13,99029.04,-11.171107994389907,-0.44797233574347395,111.11111111111111,102.97482837528604,13.10637218901729,12.166510274018322,-4370.0
INTC,2025-06-28,12859.0,-1286.0,1727.0,-3024.0,192520.0,97883.0,-0.67,2050.0,3550.0,27.54,-10.0,-23.52,-19.24,-10.56,1.24,48.0,98973.78,1.5157495855372183,0.20260266500429225,76.31578947368422,82.82950423216444,-0.05580181328628253,12.167955323417045,-1500.0
INTC,2025-09-27,13653.0,858.0,3850.0,4270.0,204514.0,106376.0,0.9,2546.0,2425.0,38.22,6.28,31.28,0.19,0.1,1.6,39.88,165794.28,6.174663659693591,2.777777777777768,-123.1958762886598,-125.13391017717346,67.51333535002908,12.22839171177944,121.0
INTC,2025-12-27,13674.0,550.0,3577.0,-333.0,211429.0,114281.0,-0.12,4288.0,3488.0,36.15,4.02,-2.44,-0.25,0.01,2.02,36.87,172674.0,0.1538123489343013,-4.109396914446006,300.0,117.64705882352939,4.149552083461505,12.261644523709958,800.0
JNJ,2022-01-02,9769.0,1325.0,3168.0,1659.0,182018.0,74023.0,0.62,5732.0,1370.0,84.62,13.56,16.98,25.93,9.98,1.35,45.6,450358.36,,,,,,12.111860862267442,4362.0
JNJ,2022-04-03,23426.0,7632.0,9401.0,5149.0,178355.0,74709.0,1.93,3979.0,359.0,67.63,32.58,21.98,23.84,9.55,1.39,44.37,468571.18,139.79936533933875,,,,4.044072813481248,12.091531225157178,3620.0
JNJ,2022-07-03,24020.0,6742.0,8486.0,4814.0,177724.0,76357.0,1.8,5581.0,797.0,67.1,28.07,20.04,20.95,8.63,1.42,42.69,472389.25,2.535644156065908,,,,0.8148324444537947,12.087987064111436,4784.0
JNJ,2022-10-02,19996.0,5738.0,6941.0,4310.0,175124.0,74599.0,1.62,6284.0,944.0,69.13,28.7,21.55,20.43,8.35,1.43,42.93,429502.83,-16.75270607826811,,,,-9.07861895671842,12.07324957341601,5340.0
JNJ,2023-01-01,19939.0,5311.0,7083.0,3227.0,187378.0,76804.0,1.22,5350.0,1366.0,69.49,26.64,16.18,21.71,8.86,0.99,51.64,461848.53,-0.2850570114022788,104.10482137373323,96.7741935483871,94.51476793248945,7.530963183641881,12.140883245950512,3984.0
JNJ,2023-04-02,20894.0,6106.0,7986.0,-491.0,195969.0,70869.0,-0.19,3257.0,823.0,68.0,29.22,-2.35,14.74,5.73,1.07,74.65,402750.43,4.789608305331261,-10.808503372321354,-109.84455958549222,-109.53583220042727,-12.795991794106188,12.18571176243822,2434.0
JNJ,2023-07-02,21519.0,6442.0,8376.0,5376.0,191686.0,75149.0,2.05,4182.0,1048.0,69.97,29.94,24.98,14.91,6.11,1.12,59.68,430142.46,2.991289365368055,-10.412156536219818,13.888888888888884,11.674283340257574,6.801241652305623,12.163613895589602,3134.0
JNJ,2023-10-01,21351.0,6525.0,7971.0,4309.0,166061.0,71228.0,1.69,7489.0,846.0,70.12,30.56,20.18,17.04,7.28,1.21,42.01,375048.21,-0.7807054231144583,6.776355271054202,4.320987654320985,-0.023201856148491462,-12.808372835362503,12.020110469717679,6643.0
JNJ,2023-12-31,21395.0,4811.0,6654.0,4132.0,167558.0,68774.0,1.7,7863.0,1468.0,68.23,22.49,19.31,18.31,7.51,1.16,42.65,377316.85,0.20607934054610588,7.302271929384618,39.34426229508197,28.04462348930896,0.6048929016352123,12.029084838966819,6395.0
